Complexity metrics,sexta, 7 nov. 2025 19:17:00 WET
Method,CogC,ev(G),iv(G),v(G)
ApplicationTests.allBlockTest(),22,1,9,11
ApplicationTests.allPayloadBlockTest(),4,1,4,4
ApplicationTests.arrayIterators(),8,1,5,7
ApplicationTests.blockInventories(),0,1,1,1
ApplicationTests.blockOverlapRemoved(),0,1,1,1
ApplicationTests.buildingDestruction(),1,1,2,2
ApplicationTests.buildingOverlap(),0,1,1,1
ApplicationTests.checkPayloads(),11,1,7,7
ApplicationTests.conveyorBench(),3,1,4,4
ApplicationTests.conveyorCrash(),0,1,1,1
ApplicationTests.createMap(),0,1,1,1
"ApplicationTests.depositTest(Block, Item)",0,1,1,1
ApplicationTests.edges(),0,1,1,1
ApplicationTests.initBuilding(),1,1,2,2
ApplicationTests.initialization(),0,1,1,1
ApplicationTests.inventoryDeposit(),0,1,1,1
ApplicationTests.junctionOutputCorrect(),0,1,1,1
ApplicationTests.launchApplication(),0,1,1,1
ApplicationTests.launchApplication(boolean),22,6,9,11
ApplicationTests.liquidJunctionOutput(),0,1,1,1
ApplicationTests.liquidOutput(),0,1,1,1
ApplicationTests.liquidRouterOutputAll(),0,1,1,1
ApplicationTests.load108Save(),0,1,1,1
ApplicationTests.load114Save(),0,1,1,1
ApplicationTests.load152BESave(),0,1,1,1
ApplicationTests.load152Save(),0,1,1,1
ApplicationTests.load77Save(),0,1,1,1
ApplicationTests.load85Save(),0,1,1,1
ApplicationTests.longTimers(),2,1,3,3
ApplicationTests.manyTimers(),1,1,2,2
ApplicationTests.multiblock(),3,1,3,3
ApplicationTests.playMap(),0,1,1,1
ApplicationTests.resetWorld(),0,1,1,1
ApplicationTests.routerOutputAll(),0,1,1,1
ApplicationTests.save(),0,1,1,1
ApplicationTests.saveLoad(),0,1,1,1
ApplicationTests.serverListJson(),3,1,3,3
ApplicationTests.sorterOutputCorrect(),0,1,1,1
ApplicationTests.spawnWaves(),0,1,1,1
ApplicationTests.testSectorValidity(),66,4,16,21
ApplicationTests.timers(),0,1,1,1
ApplicationTests.updateBlocks(int),11,1,8,8
ApplicationTests.writeRules(),0,1,1,1
ApplicationTests.writeRules2(),0,1,1,1
ApplicationTests.writeStringTest(String),0,1,1,1
"ChooserDelegate.applicationActivities(UIDocumentBrowserViewController, NSArray<NSURL>)",0,n/a,n/a,n/a
"ChooserDelegate.didImportDocument(UIDocumentBrowserViewController, NSURL, NSURL)",0,n/a,n/a,n/a
"ChooserDelegate.didPickDocumentURLs(UIDocumentBrowserViewController, NSArray<NSURL>)",0,n/a,n/a,n/a
"ChooserDelegate.didPickDocumentsAtURLs(UIDocumentBrowserViewController, NSArray<NSURL>)",5,n/a,n/a,n/a
"ChooserDelegate.didRequestDocumentCreationWithHandler(UIDocumentBrowserViewController, VoidBlock2<NSURL, UIDocumentBrowserImportMode>)",0,n/a,n/a,n/a
"ChooserDelegate.failedToImportDocument(UIDocumentBrowserViewController, NSURL, NSError)",0,n/a,n/a,n/a
"ChooserDelegate.willPresentActivityViewController(UIDocumentBrowserViewController, UIActivityViewController)",0,n/a,n/a,n/a
GenericModTest.checkExistence(String),0,1,1,1
GenericModTest.grabMod(String),4,1,2,3
"LoadRun.LoadRun(ContentType, Fi, LoadedMod)",0,n/a,n/a,n/a
LoadRun.compareTo(LoadRun),1,n/a,n/a,n/a
ModTestAllure.begin(),0,1,1,1
"RegionEntry.RegionEntry(String, PixmapRegion, int[], int[])",0,n/a,n/a,n/a
"Remap.Remap(SaveSlot, Fi, Sector, SectorInfo, Fi, Sector)",0,n/a,n/a,n/a
"Room.Room(int, int, int)",0,n/a,n/a,n/a
Room.connect(Room),6,n/a,n/a,n/a
Room.connectLiquid(Room),1,n/a,n/a,n/a
"Room.join(int, int, int, int)",2,n/a,n/a,n/a
"Room.joinLiquid(int, int, int, int)",28,n/a,n/a,n/a
"SideBar.SideBar(Floatp, Boolp, boolean)",0,n/a,n/a,n/a
SideBar.draw(),6,n/a,n/a,n/a
"SideBar.drawInner(Color, float)",4,n/a,n/a,n/a
"acceptItem(Building, Item)",0,n/a,n/a,n/a
act(float),1,n/a,n/a,n/a
"add(Item, int)",4,n/a,n/a,n/a
"add(PageType, String, PixmapRegion, int[], int[])",1,n/a,n/a,n/a
begin(),0,n/a,n/a,n/a
beginForceLandscape(),0,n/a,n/a,n/a
"build(Building, Table)",0,n/a,n/a,n/a
build(Table),0,n/a,n/a,n/a
"changeBuild(Team, Prov<Building>, int)",0,1,1,1
clearAchievement(String),0,n/a,n/a,n/a
